Timestamp,SourceExecutionId,ClusteringId,K,Kappa,DistanceMetric,SilhouetteIndex
Mon Nov 29 11:38:35 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,4bcfd62b-2d87-4fff-bca8-7e4e567a4400,4,5,net.sf.javaml.distance.CosineDistance,0.342414467206062
Tue Nov 30 08:28:21 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,44b44a87-9e37-4262-9f6e-e0eb871ae373,13,10,net.sf.javaml.distance.CosineDistance,0.339508496497439
Tue Nov 30 08:29:04 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,4d4be6b0-910a-4fc5-8e4c-e04a8d47ee08,17,20,net.sf.javaml.distance.CosineDistance,0.33857459824943
Mon Nov 29 10:05:15 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,7f7c68d9-dbd7-461b-979d-7b46f415fa94,13,1,net.sf.javaml.distance.CosineDistance,0.335168315872588
Tue Nov 30 08:28:46 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,7e4a2604-6fbd-42e5-8580-25b63563700c,2,1,net.sf.javaml.distance.CosineDistance,0.333506351568427
Tue Nov 30 08:29:07 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,3841be4b-a07b-433a-be47-58b9ecc03cdd,10,20,net.sf.javaml.distance.CosineDistance,0.332828679678887
Tue Nov 30 08:28:20 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,fecb9392-a407-410f-89d3-561a422569bc,15,10,net.sf.javaml.distance.CosineDistance,0.332090161000753
Tue Nov 30 08:27:58 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,59e8a707-0064-4acc-b6fb-ab1cb740df97,12,5,net.sf.javaml.distance.CosineDistance,0.331836345263706
Tue Nov 30 08:28:19 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,4bfadbc3-0e93-44ba-97a6-c7e8d19786ea,16,10,net.sf.javaml.distance.CosineDistance,0.331320047673891
Mon Nov 29 09:59:58 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,e5209056-53ad-4a1a-a1b9-168922d1c928,15,1,net.sf.javaml.distance.CosineDistance,0.330461172432969
